StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2022-08-19 12:30:00,2022-08-19 12:44:59,424,17,300,300
2022-08-19 16:45:00,2022-08-19 16:59:59,75,3,53,60
2022-08-19 17:00:00,2022-08-19 17:14:59,102,5,72,60
2022-08-19 19:00:00,2022-08-19 19:14:59,447,18,317,360
2022-08-19 19:15:00,2022-08-19 19:29:59,283,11,200,180
2022-08-19 19:30:00,2022-08-19 19:44:59,378,16,268,240
2022-08-19 19:45:00,2022-08-19 19:59:59,354,17,251,300
2022-08-19 20:15:00,2022-08-19 20:29:59,96,4,68,60
2022-08-19 20:30:00,2022-08-19 20:44:59,234,11,166,60
2022-08-20 11:15:00,2022-08-20 11:29:59,116,5,82,60
2022-08-20 11:30:00,2022-08-20 11:44:59,322,15,228,180
2022-08-20 11:45:00,2022-08-20 11:59:59,22,1,15,60
2022-08-20 12:00:00,2022-08-20 12:14:59,387,18,274,240
2022-08-20 12:15:00,2022-08-20 12:29:59,508,20,360,300
2022-08-20 12:30:00,2022-08-20 12:44:59,161,7,114,120
2022-08-20 17:15:00,2022-08-20 17:29:59,1191,43,845,720
2022-08-20 17:30:00,2022-08-20 17:44:59,1409,51,999,900
2022-08-20 17:45:00,2022-08-20 17:59:59,496,18,351,360
2022-08-20 18:15:00,2022-08-20 18:29:59,971,36,688,540
2022-08-20 18:30:00,2022-08-20 18:44:59,1478,53,1048,900
2022-08-20 18:45:00,2022-08-20 18:59:59,686,29,486,480
2022-08-20 20:00:00,2022-08-20 20:14:59,115,5,81,60
2022-08-20 20:30:00,2022-08-20 20:44:59,105,4,74,60
2022-08-20 22:00:00,2022-08-20 22:14:59,21,1,14,60
2022-08-21 03:00:00,2022-08-21 03:14:59,92,3,65,60
2022-08-21 08:30:00,2022-08-21 08:44:59,119,5,84,60
2022-08-21 11:30:00,2022-08-21 11:44:59,61,3,43,120
2022-08-21 12:45:00,2022-08-21 12:59:59,833,32,591,540
2022-08-21 17:30:00,2022-08-21 17:44:59,1229,45,871,840
2022-08-21 17:45:00,2022-08-21 17:59:59,1144,42,811,720
2022-08-21 18:15:00,2022-08-21 18:29:59,949,34,673,540
2022-08-21 18:30:00,2022-08-21 18:44:59,1221,44,866,780
2022-08-21 18:45:00,2022-08-21 18:59:59,292,14,207,180
2022-08-21 19:30:00,2022-08-21 19:44:59,609,26,432,360
2022-08-21 19:45:00,2022-08-21 19:59:59,627,25,444,360
2022-08-21 20:00:00,2022-08-21 20:14:59,181,9,128,120
2022-08-23 11:00:00,2022-08-23 11:14:59,112,6,79,60
2022-08-23 12:30:00,2022-08-23 12:44:59,79,4,56,60
2022-08-23 19:30:00,2022-08-23 19:44:59,221,11,156,180
2022-08-23 19:45:00,2022-08-23 19:59:59,117,5,83,60
2022-08-23 20:30:00,2022-08-23 20:44:59,4,0,2,60
2022-08-23 21:00:00,2022-08-23 21:14:59,164,7,116,120
2022-08-23 21:30:00,2022-08-23 21:44:59,64,3,45,60
2022-08-24 08:45:00,2022-08-24 08:59:59,148,8,105,60
2022-08-24 10:45:00,2022-08-24 10:59:59,66,3,46,60
2022-08-24 11:30:00,2022-08-24 11:44:59,315,13,223,240
2022-08-24 11:45:00,2022-08-24 11:59:59,1187,44,842,840
2022-08-24 12:00:00,2022-08-24 12:14:59,118,5,83,120
2022-08-24 12:30:00,2022-08-24 12:44:59,51,2,36,60
2022-08-24 18:00:00,2022-08-24 18:14:59,569,23,403,420
2022-08-24 18:15:00,2022-08-24 18:29:59,719,28,510,480
2022-08-24 18:30:00,2022-08-24 18:44:59,120,6,85,60
2022-08-24 19:45:00,2022-08-24 19:59:59,338,16,239,240
2022-08-24 20:45:00,2022-08-24 20:59:59,241,11,170,240
2022-08-24 22:00:00,2022-08-24 22:14:59,213,9,151,180
2022-08-24 22:15:00,2022-08-24 22:29:59,2,0,1,60
2022-08-24 23:00:00,2022-08-24 23:14:59,123,6,87,60
2022-08-25 00:30:00,2022-08-25 00:44:59,127,5,90,60
2022-08-25 00:45:00,2022-08-25 00:59:59,45,1,31,60
2022-08-25 01:00:00,2022-08-25 01:14:59,127,5,90,120
2022-08-25 06:30:00,2022-08-25 06:44:59,109,5,77,60
2022-08-25 06:45:00,2022-08-25 06:59:59,110,4,78,60
2022-08-25 07:00:00,2022-08-25 07:14:59,177,8,125,120
2022-08-25 07:15:00,2022-08-25 07:29:59,574,24,407,420
2022-08-25 07:30:00,2022-08-25 07:44:59,850,36,603,720
2022-08-25 07:45:00,2022-08-25 07:59:59,91,5,64,60
2022-08-25 08:45:00,2022-08-25 08:59:59,59,2,41,60
2022-08-25 09:00:00,2022-08-25 09:14:59,156,8,110,120
2022-08-25 13:15:00,2022-08-25 13:29:59,630,26,446,480
2022-08-25 13:30:00,2022-08-25 13:44:59,220,8,156,180
2022-08-25 13:45:00,2022-08-25 13:59:59,562,20,398,360
2022-08-25 16:45:00,2022-08-25 16:59:59,109,5,77,60
2022-08-25 17:15:00,2022-08-25 17:29:59,331,16,234,300
2022-08-25 17:30:00,2022-08-25 17:44:59,772,32,547,660
2022-08-25 17:45:00,2022-08-25 17:59:59,711,29,504,600
2022-08-25 18:00:00,2022-08-25 18:14:59,468,19,332,300
2022-08-25 18:15:00,2022-08-25 18:29:59,179,7,127,180
2022-08-25 19:15:00,2022-08-25 19:29:59,83,5,58,60
2022-08-25 20:30:00,2022-08-25 20:44:59,232,11,164,120
2022-08-25 21:00:00,2022-08-25 21:14:59,170,8,120,120
